"number","org.Ks","org.vwc_s","org.vwc_r","org.vwc_fc","org.vwc_wp","org.VG_alpha","org.VG_n","org.thermcond","org.thermcap","min.Ks","min.vwc_s","min.vwc_r","min.vwc_fc","min.vwc_wp","min.VG_alpha","min.VG_n","min.thermcond","min.thermcap","period","variable","RMSE.mean","NRMSE.mean","R2.mean","NSE.mean"
"0018",0.655441015100249,0.55,0.01,0.275962988856038,0.0654351828003067,0.00154154516087146,1.418160559054,7.8578530434909,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.128840829216153,0.256711023132699,0.542722717568162,0.189974721249499
"0018",0.655441015100249,0.55,0.01,0.275962988856038,0.0654351828003067,0.00154154516087146,1.418160559054,7.8578530434909,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",5.09414087153334,0.263958146159691,0.731773889698544,-0.125096693434976
"0018",0.655441015100249,0.55,0.01,0.275962988856038,0.0654351828003067,0.00154154516087146,1.418160559054,7.8578530434909,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.150436549165132,0.292091942485597,0.479032675192552,0.281923917956226
"0019",0.963633637411213,0.55,0.01,0.0575246869639118,0.0119198854783695,0.00543019902033033,1.84135891830549,11.4164185953181,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.164761538963501,0.310164398787134,0.413712465519052,0.158084257479091
"0019",0.963633637411213,0.55,0.01,0.0575246869639118,0.0119198854783695,0.00543019902033033,1.84135891830549,11.4164185953181,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.149057072716606,0.301204016023519,0.525791125014379,-0.444024398570185
"0019",0.963633637411213,0.55,0.01,0.0575246869639118,0.0119198854783695,0.00543019902033033,1.84135891830549,11.4164185953181,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.78183278938752,0.246715598995064,0.74484897979816,0.00932032137103297
"0019",0.963633637411213,0.55,0.01,0.0575246869639118,0.0119198854783695,0.00543019902033033,1.84135891830549,11.4164185953181,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.04791087769994,0.207321398142493,0.798973897063783,0.284940048644115
"0020",0.536515936213015,0.55,0.01,0.0608538380978259,0.0127787504289215,0.00671082636758452,1.76211935384874,15.6615705824736,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.150912648736913,0.304377560573212,0.51736456600615,-0.457308874294604
"0020",0.536515936213015,0.55,0.01,0.0608538380978259,0.0127787504289215,0.00671082636758452,1.76211935384874,15.6615705824736,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.13612868460446,0.211917013171919,0.792860666810467,0.252833532314965
"0020",0.536515936213015,0.55,0.01,0.0608538380978259,0.0127787504289215,0.00671082636758452,1.76211935384874,15.6615705824736,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.164032190043941,0.309234155103774,0.415083102792462,0.163531384835479
